client_id,contact_duration,number_contacts,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
0,261,1,999,0,,0,1,2022-05-13
1,149,1,999,0,,0,1,2022-05-19
2,226,1,999,0,,0,1,2022-05-23
3,151,1,999,0,,0,1,2022-05-27
4,307,1,999,0,,0,1,2022-05-03
5,198,1,999,0,,0,1,2022-05-05
6,139,1,999,0,,0,1,2022-05-03
7,217,1,999,0,,0,1,2022-05-12
8,380,1,999,0,,0,1,2022-05-21
9,50,1,999,0,,0,1,2022-05-05
10,55,1,999,0,,0,1,2022-05-08
11,222,1,999,0,,0,1,2022-05-09
12,137,1,999,0,,0,1,2022-05-29
13,293,1,999,0,,0,1,2022-05-14
14,146,1,999,0,,0,1,2022-05-29
15,174,1,999,0,,0,1,2022-05-29
16,312,1,999,0,,0,1,2022-05-01
17,440,1,999,0,,0,1,2022-05-09
18,353,1,999,0,,0,1,2022-05-06
19,195,1,999,0,,0,1,2022-05-02
20,38,1,999,0,,0,1,2022-05-02
21,262,1,999,0,,0,1,2022-05-16
22,342,1,999,0,,0,1,2022-05-20
23,181,1,999,0,,0,1,2022-05-10
24,172,1,999,0,,0,1,2022-05-02
25,99,1,999,0,,0,1,2022-05-28
26,93,1,999,0,,0,1,2022-05-30
27,233,1,999,0,,0,1,2022-05-16
28,255,2,999,0,,0,1,2022-05-01
29,362,1,999,0,,0,1,2022-05-22
30,348,1,999,0,,0,1,2022-05-22
31,386,1,999,0,,0,1,2022-05-27
32,73,1,999,0,,0,1,2022-05-25
33,230,1,999,0,,0,1,2022-05-14
34,208,1,999,0,,0,1,2022-05-25
35,336,1,999,0,,0,1,2022-05-22
36,365,1,999,0,,0,1,2022-05-11
37,1666,1,999,0,,0,1,2022-05-03
38,577,1,999,0,,0,1,2022-05-02
39,137,1,999,0,,0,1,2022-05-20
40,366,1,999,0,,0,1,2022-05-05
41,314,1,999,0,,0,1,2022-05-25
42,160,1,999,0,,0,1,2022-05-22
43,212,1,999,0,,0,1,2022-05-01
44,188,1,999,0,,0,1,2022-05-17
45,22,1,999,0,,0,1,2022-05-28
46,616,1,999,0,,0,1,2022-05-15
47,178,1,999,0,,0,1,2022-05-03
48,355,1,999,0,,0,1,2022-05-26
49,225,2,999,0,,0,1,2022-05-26
50,160,1,999,0,,0,1,2022-05-03
51,266,1,999,0,,0,1,2022-05-09
52,253,1,999,0,,0,1,2022-05-11
53,179,1,999,0,,0,1,2022-05-13
54,269,2,999,0,,0,1,2022-05-12
55,135,1,999,0,,0,1,2022-05-08
56,161,1,999,0,,0,1,2022-05-17
57,787,1,999,0,,0,1,2022-05-08
58,145,1,999,0,,0,1,2022-05-08
59,174,1,999,0,,0,1,2022-05-18
60,449,1,999,0,,0,1,2022-05-03
61,812,1,999,0,,0,1,2022-05-23
62,164,1,999,0,,0,1,2022-05-27
63,366,1,999,0,,0,1,2022-05-29
64,357,1,999,0,,0,1,2022-05-19
65,232,1,999,0,,0,1,2022-05-15
66,91,1,999,0,,0,1,2022-05-16
67,273,1,999,0,,0,1,2022-05-21
68,158,2,999,0,,0,1,2022-05-29
69,177,1,999,0,,0,1,2022-05-04
70,200,1,999,0,,0,1,2022-05-28
71,172,1,999,0,,0,1,2022-05-26
72,176,1,999,0,,0,1,2022-05-18
73,211,1,999,0,,0,1,2022-05-14
74,214,1,999,0,,0,1,2022-05-26
75,1575,1,999,0,,1,1,2022-05-20
76,349,1,999,0,,0,1,2022-05-16
77,337,2,999,0,,0,1,2022-05-28
78,272,1,999,0,,0,1,2022-05-30
79,208,1,999,0,,0,1,2022-05-21
80,193,1,999,0,,0,1,2022-05-29
81,212,1,999,0,,0,1,2022-05-29
82,165,2,999,0,,0,1,2022-05-27
83,1042,1,999,0,,1,1,2022-05-06
84,20,1,999,0,,0,1,2022-05-23
85,246,1,999,0,,0,1,2022-05-12
86,529,2,999,0,,0,1,2022-05-23
87,192,1,999,0,,0,1,2022-05-21
88,1467,1,999,0,,1,1,2022-05-19
89,188,2,999,0,,0,1,2022-05-17
90,180,2,999,0,,0,1,2022-05-29
91,48,1,999,0,,0,1,2022-05-05
92,213,2,999,0,,0,1,2022-05-02
93,545,1,999,0,,0,1,2022-05-27
94,583,1,999,0,,0,1,2022-05-28
95,221,1,999,0,,0,1,2022-05-25
96,426,1,999,0,,0,1,2022-05-17
97,287,1,999,0,,0,1,2022-05-27
98,197,1,999,0,,0,1,2022-05-30
99,257,1,999,0,,0,1,2022-05-03
100,229,1,999,0,,0,1,2022-05-25
101,55,3,999,0,,0,1,2022-05-30
102,400,1,999,0,,0,1,2022-05-27
103,197,1,999,0,,0,1,2022-05-19
104,190,1,999,0,,0,1,2022-05-24
105,21,1,999,0,,0,1,2022-05-08
106,300,2,999,0,,0,1,2022-05-22
107,123,2,999,0,,0,1,2022-05-09
108,293,1,999,0,,0,1,2022-05-15
109,325,1,999,0,,0,1,2022-05-09
110,514,1,999,0,,0,1,2022-05-04
111,849,2,999,0,,0,1,2022-05-01
112,194,1,999,0,,0,1,2022-05-25
113,212,2,999,0,,0,1,2022-05-04
114,337,2,999,0,,0,1,2022-05-06
115,286,1,999,0,,0,1,2022-05-20
116,247,2,999,0,,0,1,2022-05-31
117,518,1,999,0,,0,1,2022-05-24
118,364,1,999,0,,0,1,2022-05-06
119,178,1,999,0,,0,1,2022-05-26
120,98,1,999,0,,0,1,2022-05-21
121,439,1,999,0,,0,1,2022-05-01
122,139,1,999,0,,0,1,2022-05-18
123,79,1,999,0,,0,1,2022-05-09
124,175,1,999,0,,0,1,2022-05-26
125,262,2,999,0,,0,1,2022-05-21
126,61,1,999,0,,0,1,2022-05-31
127,78,1,999,0,,0,1,2022-05-24
128,102,2,999,0,,0,1,2022-05-23
129,579,1,999,0,,1,1,2022-05-12
130,143,1,999,0,,0,1,2022-05-29
131,677,1,999,0,,0,1,2022-05-20
132,267,1,999,0,,0,1,2022-05-22
133,345,1,999,0,,0,1,2022-05-12
134,185,1,999,0,,0,1,2022-05-19
135,207,1,999,0,,0,1,2022-05-05
136,69,2,999,0,,0,1,2022-05-26
137,100,2,999,0,,0,1,2022-05-19
138,125,2,999,0,,0,1,2022-05-28
139,461,1,999,0,,1,1,2022-05-27
140,240,1,999,0,,0,1,2022-05-16
141,70,1,999,0,,0,1,2022-05-22
142,193,1,999,0,,0,1,2022-05-24
143,136,1,999,0,,0,1,2022-05-17
144,73,1,999,0,,0,1,2022-05-24
145,528,1,999,0,,0,1,2022-05-06
146,541,1,999,0,,0,1,2022-05-11
147,338,1,999,0,,0,1,2022-05-16
148,163,1,999,0,,0,1,2022-05-28
